frame.time_epoch,frame.time_delta,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,label
"1765647457.872689639","0.000000000","98","1",,,,,0
"1765647457.880422687","0.007733048","60",,,,,,0
"1765647457.880439432","0.000016745","42",,,,,,0
"1765647457.882097708","0.001658276","98","1",,,,,0
"1765647458.873572500","0.991474792","98","1",,,,,0
"1765647458.874653479","0.001080979","98","1",,,,,0
"1765647459.874308741","0.999655262","98","1",,,,,0
"1765647459.875761725","0.001452984","98","1",,,,,0
"1765647460.876353088","1.000591363","98","1",,,,,0
"1765647460.878245533","0.001892445","98","1",,,,,0
"1765647461.878401856","1.000156323","98","1",,,,,0
"1765647461.879842183","0.001440327","98","1",,,,,0
"1765647462.880811534","1.000969351","98","1",,,,,0
"1765647462.882609511","0.001797977","98","1",,,,,0
"1765647463.054093002","0.171483491","42",,,,,,0
"1765647463.055995065","0.001902063","60",,,,,,0
"1765647463.882433513","0.826438448","98","1",,,,,0
"1765647463.883916095","0.001482582","98","1",,,,,0
"1765647464.884666999","1.000750904","98","1",,,,,0
"1765647464.888432207","0.003765208","98","1",,,,,0
"1765647465.887049974","0.998617767","98","1",,,,,0
"1765647465.888655949","0.001605975","98","1",,,,,0
"1765647466.889151154","1.000495205","98","1",,,,,0
"1765647466.891441005","0.002289851","98","1",,,,,0
"1765647467.890585882","0.999144877","98","1",,,,,0
"1765647467.892534758","0.001948876","98","1",,,,,0
"1765647468.891970996","0.999436238","98","1",,,,,0
"1765647468.893774302","0.001803306","98","1",,,,,0
"1765647469.893437980","0.999663678","98","1",,,,,0
"1765647469.895203882","0.001765902","98","1",,,,,0
"1765647470.894437953","0.999234071","98","1",,,,,0
"1765647470.896365548","0.001927595","98","1",,,,,0
"1765647471.896503545","1.000137997","98","1",,,,,0
"1765647471.898844528","0.002340983","98","1",,,,,0
"1765647472.897920533","0.999076005","98","1",,,,,0
"1765647472.899420971","0.001500438","98","1",,,,,0
"1765647473.899837537","1.000416566","98","1",,,,,0
"1765647473.902517557","0.002680020","98","1",,,,,0
"1765647474.902094942","0.999577385","98","1",,,,,0
"1765647474.903597687","0.001502745","98","1",,,,,0
"1765647475.904451288","1.000853601","98","1",,,,,0
"1765647475.906528574","0.002077286","98","1",,,,,0
"1765647476.905873569","0.999344995","98","1",,,,,0
"1765647476.907575896","0.001702327","98","1",,,,,0
"1765647477.908616064","1.001040168","98","1",,,,,0
"1765647477.910759032","0.002142968","98","1",,,,,0
"1765647478.910367779","0.999608747","98","1",,,,,0
"1765647478.911884520","0.001516741","98","1",,,,,0
"1765647479.912854114","1.000969594","98","1",,,,,0
"1765647479.914378750","0.001524636","98","1",,,,,0
"1765647480.914018770","0.999640020","98","1",,,,,0
"1765647480.915671186","0.001652416","98","1",,,,,0
"1765647481.914361034","0.998689848","98","1",,,,,0
"1765647481.916082738","0.001721704","98","1",,,,,0
"1765647482.916656806","1.000574068","98","1",,,,,0
"1765647482.918518368","0.001861562","98","1",,,,,0
"1765647483.918105467","0.999587099","98","1",,,,,0
"1765647483.919877308","0.001771841","98","1",,,,,0
"1765647484.920173306","1.000295998","98","1",,,,,0
"1765647484.921953690","0.001780384","98","1",,,,,0
"1765647485.921027240","0.999073550","98","1",,,,,0
"1765647485.922320797","0.001293557","98","1",,,,,0
"1765647486.922180842","0.999860045","98","1",,,,,0
"1765647486.924782775","0.002601933","98","1",,,,,0
"1765647487.917050097","0.992267322","60",,,,,,0
"1765647487.917065222","0.000015125","42",,,,,,0
"1765647487.924828648","0.007763426","98","1",,,,,0
"1765647487.927125957","0.002297309","98","1",,,,,0
"1765647488.926135051","0.999009094","98","1",,,,,0
"1765647488.927520809","0.001385758","98","1",,,,,0
"1765647489.928189205","1.000668396","98","1",,,,,0
"1765647489.930043426","0.001854221","98","1",,,,,0
"1765647490.930012636","0.999969210","98","1",,,,,0
"1765647490.931522373","0.001509737","98","1",,,,,0
"1765647491.933046163","1.001523790","98","1",,,,,0
"1765647491.937485763","0.004439600","98","1",,,,,0
"1765647492.933966159","0.996480396","98","1",,,,,0
"1765647492.935503437","0.001537278","98","1",,,,,0
"1765647493.006276025","0.070772588","42",,,,,,0
"1765647493.007618006","0.001341981","60",,,,,,0
"1765647493.936099121","0.928481115","98","1",,,,,0
"1765647493.937905884","0.001806763","98","1",,,,,0
"1765647494.937213996","0.999308112","98","1",,,,,0
"1765647494.939239588","0.002025592","98","1",,,,,0
"1765647495.938138043","0.998898455","98","1",,,,,0
"1765647495.940636649","0.002498606","98","1",,,,,0
"1765647496.940814335","1.000177686","98","1",,,,,0
"1765647496.946761251","0.005946916","98","1",,,,,0
