frame.time_epoch,frame.time_delta,frame.time_relative,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.stream,tcp.window_size,label
"1766000011.778898174","0.000029936","24.954876291","66","6","44118","21","0x0010","0","2","129920",0
"1766000013.364059775","1.585161601","26.540037892","78","6","44118","21","0x0018","12","2","129920",0
"1766000013.366121078","0.002061303","26.542099195","66","6","21","44118","0x0010","0","2","5888",0
"1766000013.367177069","0.001055991","26.543155186","100","6","21","44118","0x0018","34","2","5888",0
"1766000013.367202363","0.000025294","26.543180480","66","6","44118","21","0x0010","0","2","129888",0
"1766000013.859083260","0.491880897","27.035061377","73","6","44118","21","0x0018","7","2","129888",0
"1766000013.896061937","0.036978677","27.072040054","66","6","21","44118","0x0010","0","2","5888",0
"1766000016.808593925","2.912531988","29.984572042","88","6","21","44118","0x0018","22","2","5888",0
"1766000016.808620902","0.000026977","29.984599019","66","6","44118","21","0x0010","0","2","129868",0
"1766000018.930417911","2.121797009","32.106396028","72","6","44118","21","0x0018","6","2","129868",0
"1766000018.931986270","0.001568359","32.107964387","66","6","21","44118","0x0010","0","2","5888",0
"1766000018.934670827","0.002684557","32.110648944","104","6","21","44118","0x0018","38","2","5888",0
"1766000018.934704120","0.000033293","32.110682237","66","6","44118","21","0x0010","0","2","129832",0
"1766000018.935880200","0.001176080","32.111858317","72","6","44118","21","0x0018","6","2","129832",0
"1766000018.938407380","0.002527180","32.114385497","104","6","21","44118","0x0018","38","2","5888",0
"1766000018.939496972","0.001089592","32.115475089","88","6","44118","21","0x0018","22","2","129796",0
"1766000018.941809451","0.002312479","32.117787568","104","6","21","44118","0x0018","38","2","5888",0
"1766000018.985415621","0.043606170","32.161393738","66","6","44118","21","0x0010","0","2","129760",0
"1766000022.277191479","3.291775858","35.453169596","71","6","44118","21","0x0018","5","2","129760",0
"1766000022.278754055","0.001562576","35.454732172","104","6","21","44118","0x0018","38","2","5888",0
"1766000022.280259513","0.001505458","35.456237630","66","6","44118","21","0x0010","0","2","129724",0
"1766000027.428854178","5.148594665","40.604832295","72","6","44118","21","0x0018","6","2","129724",0
"1766000027.431152364","0.002298186","40.607130481","80","6","21","44118","0x0018","14","2","5888",0
"1766000027.431178946","0.000026582","40.607157063","66","6","44118","21","0x0010","0","2","129712",0
"1766000027.431681597","0.000502651","40.607659714","66","6","44118","21","0x0011","0","2","129712",0
"1766000027.434764955","0.003083358","40.610743072","66","6","21","44118","0x0011","0","2","5888",0
"1766000027.434784945","0.000019990","40.610763062","66","6","44118","21","0x0010","0","2","129712",0
"1766000038.277746650","10.842961705","51.453724767","74","6","38796","23","0x0002","0","3","64240",0
"1766000038.279096031","0.001349381","51.455074148","74","6","23","38796","0x0012","0","3","5792",0
"1766000038.279840693","0.000744662","51.455818810","66","6","38796","23","0x0010","0","3","64256",0
"1766000038.297117954","0.017277261","51.473096071","99","6","38796","23","0x0018","33","3","64256",0
"1766000038.299761500","0.000000399","51.475739617","66","6","23","38796","0x0010","0","3","5888",0
"1766000038.395241119","0.095479619","51.571219236","78","6","23","38796","0x0018","12","3","5888",0
"1766000038.395287455","0.000046336","51.571265572","66","6","38796","23","0x0010","0","3","64256",0
"1766000038.398421226","0.003133771","51.574399343","111","6","23","38796","0x0018","45","3","5888",0
"1766000038.398476477","0.000055251","51.574454594","66","6","38796","23","0x0010","0","3","64256",0
"1766000038.400035972","0.001559495","51.576014089","157","6","38796","23","0x0018","91","3","64256",0
"1766000038.401229624","0.001193652","51.577207741","66","6","23","38796","0x0010","0","3","5888",0
"1766000038.402777230","0.001547606","51.578755347","69","6","23","38796","0x0018","3","3","5888",0
"1766000038.403017241","0.000240011","51.578995358","69","6","38796","23","0x0018","3","3","64256",0
"1766000038.408432982","0.005415741","51.584411099","69","6","23","38796","0x0018","3","3","5888",0
"1766000038.409035383","0.000602401","51.585013500","69","6","38796","23","0x0018","3","3","64256",0
"1766000038.410313261","0.001277878","51.586291378","686","6","23","38796","0x0018","620","3","5888",0
"1766000038.454798476","0.044485215","51.630776593","66","6","38796","23","0x0010","0","3","63744",0
"1766000042.274490288","3.819691812","55.450468405","67","6","38796","23","0x0018","1","3","63744",0
"1766000042.276166544","0.001676256","55.452144661","67","6","23","38796","0x0018","1","3","5888",0
"1766000042.276185575","0.000019031","55.452163692","66","6","38796","23","0x0010","0","3","63744",0
"1766000042.675783275","0.399597700","55.851761392","67","6","38796","23","0x0018","1","3","63744",0
"1766000042.678110173","0.002326898","55.854088290","67","6","23","38796","0x0018","1","3","5888",0
"1766000042.678141754","0.000031581","55.854119871","66","6","38796","23","0x0010","0","3","63744",0
"1766000043.208063259","0.529921505","56.384041376","67","6","38796","23","0x0018","1","3","63744",0
"1766000043.209965003","0.001901744","56.385943120","67","6","23","38796","0x0018","1","3","5888",0
