iter	Logloss
0	0.6193551443
1	0.5591500122
2	0.5011962928
3	0.4501445323
4	0.4135113862
5	0.3792268729
6	0.3648602199
7	0.3439415669
8	0.3284639744
9	0.3229031677
10	0.3137714784
11	0.3036375412
12	0.2914355718
13	0.2868711953
14	0.2795158503
15	0.2728958295
16	0.2658366166
17	0.2595356234
18	0.2535111008
19	0.2510629632
20	0.2467794833
21	0.2432292171
22	0.2390007987
23	0.2362074854
24	0.2344224009
25	0.2312567711
26	0.2305496352
27	0.2268087397
28	0.2229600741
29	0.2209268554
30	0.2188298848
31	0.2158681341
32	0.2141684936
33	0.2125320158
34	0.2115010894
35	0.2103193068
36	0.2101953237
37	0.2096777237
38	0.2091010465
39	0.2087110076
40	0.2078622912
41	0.2057270782
42	0.2048357323
43	0.2039782609
44	0.2033764444
45	0.2029600728
46	0.2025980674
47	0.2015616554
48	0.200289292
49	0.1999986325
50	0.1996297524
51	0.1993675343
52	0.1987005255
53	0.1982681533
54	0.1979071001
55	0.1969229326
56	0.1965641848
57	0.1963268168
58	0.1951816956
59	0.1949402904
60	0.1939830796
61	0.1933345676
62	0.1927376576
63	0.1926475407
64	0.1924680719
65	0.19214986
66	0.1919289166
67	0.1917801837
68	0.1915333062
69	0.1910156474
70	0.1907023873
71	0.1898988301
72	0.1897343288
73	0.1896828493
74	0.1892834125
75	0.1892264314
76	0.1889949139
77	0.1887125673
78	0.1885576719
79	0.1885057526
80	0.1881736561
81	0.1880577274
82	0.1877783398
83	0.1876411776
84	0.1876411342
85	0.1876411342
86	0.1872062676
87	0.1871389799
88	0.1868190942
89	0.1867178093
90	0.186450447
91	0.1860341228
92	0.1860050327
93	0.1856474259
94	0.1855398639
95	0.1854792551
96	0.1851350551
97	0.1849900413
98	0.1848113664
99	0.1844303
100	0.1842353632
101	0.1841519234
102	0.1841085536
103	0.1838266357
104	0.183737451
105	0.183497963
106	0.1834409411
107	0.183364778
108	0.1829393333
109	0.1827437155
110	0.1826732231
111	0.1826249729
112	0.1825674222
113	0.1824968366
114	0.1824118891
115	0.1823602526
116	0.182289862
117	0.1821631972
118	0.1821316339
119	0.1819152232
120	0.1818561738
121	0.1816926327
122	0.1812998628
123	0.1812071743
124	0.1811786049
125	0.1810872563
126	0.1810791519
127	0.1810267174
128	0.1810089582
129	0.1808844858
130	0.1807726075
131	0.1806928386
132	0.1805761801
133	0.1805761223
134	0.1804908926
135	0.1803950941
136	0.1803950508
137	0.1801462132
138	0.1796248608
139	0.1795339724
140	0.1792803769
141	0.1792557665
142	0.1791022793
143	0.178917218
144	0.1788724129
145	0.1787809963
146	0.1786660102
147	0.1785648399
148	0.1785300943
149	0.178439859
150	0.1782987588
151	0.1781855753
152	0.1781486456
153	0.1780079569
154	0.1779436289
155	0.1777740213
156	0.1777391039
157	0.1774894729
158	0.1774252154
159	0.1771420663
160	0.1771421084
161	0.1770943545
162	0.1769416417
163	0.1767973421
164	0.1766781772
165	0.1765401497
166	0.1763685618
167	0.1763069688
168	0.1762426879
169	0.1762284055
170	0.1760186895
171	0.1759122211
172	0.1757850787
173	0.175701725
174	0.175638947
175	0.1755425723
176	0.1754916042
177	0.1752539043
178	0.1751375365
179	0.1750115095
180	0.1749681085
181	0.1748475402
182	0.1748314672
183	0.1747854657
184	0.1746979603
185	0.1746557532
186	0.1745714728
187	0.1744719543
188	0.1743556936
189	0.1742658572
190	0.1741921289
191	0.1740938725
192	0.1740292793
193	0.1739479973
194	0.1737461005
195	0.1734767994
196	0.1732204423
197	0.1731296043
198	0.1730629656
199	0.1728923389
200	0.1728203019
201	0.1727294116
202	0.1726771629
203	0.1725060938
204	0.1723526519
205	0.1723086843
206	0.1722660456
207	0.1721265506
208	0.1719890247
209	0.1718038381
210	0.1717058857
211	0.1716218808
212	0.171528669
213	0.1714467495
214	0.1713403111
215	0.1712836021
216	0.1711501312
217	0.1710467051
218	0.1709833794
219	0.1708726631
220	0.1707731665
221	0.1706508379
222	0.1704836752
223	0.1702942512
224	0.1702031264
225	0.1700687176
226	0.1699665451
227	0.1697945702
228	0.1696459294
229	0.169587349
230	0.1695433638
231	0.1694265982
232	0.1693152425
233	0.1692576933
234	0.1691108727
235	0.16904274
236	0.1689351936
237	0.1688580871
238	0.1686159822
239	0.1685291958
240	0.1684837879
241	0.1681617552
242	0.1679774079
243	0.167886649
244	0.1678189217
245	0.1676507301
246	0.1675312615
247	0.1674854888
248	0.1674010656
249	0.1673247809
250	0.1671778817
251	0.1670262004
252	0.1669059845
253	0.1668292161
254	0.1666608138
255	0.1664580768
256	0.1663821276
257	0.1662906617
258	0.1661793514
259	0.1660379344
260	0.1659428306
261	0.1659045503
262	0.1658046486
263	0.1657599463
264	0.1657015611
265	0.1656661986
266	0.1654558465
267	0.1653716529
268	0.1653259833
269	0.1652205817
270	0.1651256834
271	0.1650751017
272	0.1650079147
273	0.1647455135
274	0.1646685457
275	0.1646178917
276	0.1645707628
277	0.1645041081
278	0.1644455586
279	0.1644132089
280	0.1643388299
281	0.1642424252
282	0.1641749574
283	0.1640998386
284	0.1640346226
285	0.1639461208
286	0.1639010219
287	0.1638485117
288	0.1637725802
289	0.1637193568
290	0.1636405842
291	0.1635380986
292	0.1633935909
293	0.1633008667
294	0.163190266
295	0.1631644405
296	0.1630814248
297	0.1630266046
298	0.162990775
299	0.1629485085
300	0.1629067819
301	0.1628855527
302	0.162844808
303	0.1628122519
304	0.1627739729
305	0.1626341239
306	0.1625490398
307	0.1624779505
308	0.1624105357
309	0.1623517898
310	0.1621923633
311	0.1621448901
312	0.1620988031
313	0.1619953602
314	0.161952406
315	0.1618969728
316	0.161824499
317	0.161764249
318	0.1617257715
319	0.1616512035
320	0.1616153854
321	0.1615730862
322	0.1615193754
323	0.1614814215
324	0.1614108256
325	0.1613036561
326	0.1612064838
327	0.1611530998
328	0.1610796946
329	0.1610175763
330	0.1609211509
331	0.1608473645
332	0.1607889073
333	0.1607118244
334	0.1606759792
335	0.160636428
336	0.1605777703
337	0.1605552324
338	0.1604810847
339	0.1604199018
340	0.1603553065
341	0.1603232002
342	0.1602704972
343	0.1602246575
344	0.1601291038
345	0.1601228323
346	0.1600821902
347	0.1600355403
348	0.1599889045
349	0.1599541407
350	0.1599020819
351	0.1598318018
352	0.1597482178
353	0.1596904751
354	0.1596419478
355	0.1596140133
356	0.1595787805
357	0.1594888582
358	0.1594341888
359	0.159400094
360	0.1593696946
361	0.1593255845
362	0.1592781506
363	0.1592283809
364	0.1591826837
365	0.1590858307
366	0.1590165345
367	0.1589597455
368	0.1589262505
369	0.1588516445
370	0.158821514
371	0.1587302859
372	0.1586995622
373	0.1586048758
374	0.1585383829
375	0.1584900843
376	0.158464665
377	0.1584349277
378	0.1583942986
379	0.1583709139
380	0.1582940638
381	0.1582269625
382	0.1581986545
383	0.1581368684
384	0.1580680923
385	0.1580331117
386	0.1580002075
387	0.1579498745
388	0.1579042316
389	0.1578755919
390	0.1578453737
391	0.1578271163
392	0.1577862128
393	0.1577332367
394	0.1576866281
395	0.1576477893
396	0.1575748388
397	0.1575516167
398	0.1575071767
399	0.1574317723
400	0.157326212
401	0.1572903074
402	0.157203781
403	0.1571614783
404	0.1571016288
405	0.1570776828
406	0.157051628
407	0.1570155484
408	0.1570019146
409	0.1569138728
410	0.1568720754
411	0.1568544827
412	0.1568146907
413	0.1567321197
414	0.1566627239
415	0.1566140787
416	0.1565486512
417	0.1565392346
418	0.1564847924
419	0.1564375787
420	0.1564206502
421	0.1563767154
422	0.1563072298
423	0.156281653
424	0.1562636539
425	0.1562382621
426	0.156189588
427	0.1561659452
428	0.1561478069
429	0.1561270347
430	0.1560475108
431	0.1559991275
432	0.1559733055
433	0.1559288852
434	0.1559118574
435	0.155869852
436	0.1558333391
437	0.1557842321
438	0.1557314114
439	0.1556929646
440	0.1556702281
441	0.1556238651
442	0.1555968119
443	0.1555862449
444	0.1555503927
445	0.1554868846
446	0.1553817141
447	0.1553391658
448	0.1553062362
449	0.1552857382
450	0.1552678328
451	0.1552148312
452	0.1551973085
453	0.1551828044
454	0.1551503622
455	0.155102815
456	0.1550840266
457	0.1550305992
458	0.1549959168
459	0.1549712916
460	0.1549296842
461	0.1548874549
462	0.1548714094
463	0.1548403301
464	0.1548230711
465	0.154741341
466	0.1547198522
467	0.1547064742
468	0.154672893
469	0.1546174455
470	0.1545966176
471	0.154570173
472	0.1545372578
473	0.1545048067
474	0.154452372
475	0.1543999435
476	0.1543662805
477	0.1543156861
478	0.1542867893
479	0.1542449342
480	0.1541952511
481	0.1541769669
482	0.1541052458
483	0.1540441509
484	0.1540101234
485	0.1539869554
486	0.153973264
487	0.1539614226
488	0.1539236963
489	0.1539052815
490	0.1538752735
491	0.1538377187
492	0.1538165169
493	0.1537956634
494	0.1537486196
495	0.1537023285
496	0.1536634921
497	0.1536046056
498	0.1535744183
499	0.1535528101
